api_path,record_count,raw_target,source_file,source_line
alloc::collections::BTreeMap::contains_key,2,"BTreeMap::<Key, Value, A>::contains_key::<Q>",std_specs/btree.rs,456
alloc::collections::BTreeMap::contains_key,2,"BTreeMap::<Key, Value, A>::contains_key::<Q>",std_specs/btree.rs,461
alloc::collections::BTreeMap::get,2,"BTreeMap::<Key, Value, A>::get::<Q>",std_specs/btree.rs,504
alloc::collections::BTreeMap::get,2,"BTreeMap::<Key, Value, A>::get::<Q>",std_specs/btree.rs,510
alloc::collections::BTreeMap::remove,2,"BTreeMap::<Key, Value, A>::remove::<Q>",std_specs/btree.rs,562
alloc::collections::BTreeMap::remove,2,"BTreeMap::<Key, Value, A>::remove::<Q>",std_specs/btree.rs,567
alloc::collections::BTreeSet::get,2,"BTreeSet::<Key, A>::get::<Q>",std_specs/btree.rs,848
alloc::collections::BTreeSet::get,2,"BTreeSet::<Key, A>::get::<Q>",std_specs/btree.rs,853
core::clone::Clone::clone,18,<f32 as Clone>::clone,float.rs,95
core::clone::Clone::clone,18,<f64 as Clone>::clone,float.rs,100
core::clone::Clone::clone,18,"<BTreeMap::<
    K,
    V,
    A,
> as Clone>::clone",std_specs/btree.rs,390
core::clone::Clone::clone,18,"<BTreeSet::<K, A> as Clone>::clone",std_specs/btree.rs,753
core::clone::Clone::clone,18,<bool as Clone>::clone,std_specs/clone.rs,26
core::clone::Clone::clone,18,<char as Clone>::clone,std_specs/clone.rs,31
core::clone::Clone::clone,18,<&'b T as Clone>::clone,std_specs/clone.rs,37
core::clone::Clone::clone,18,<[T; N] as Clone>::clone,std_specs/clone.rs,44
core::clone::Clone::clone,18,<Tracked<T> as Clone>::clone,std_specs/clone.rs,61
core::clone::Clone::clone,18,<Ghost<T> as Clone>::clone,std_specs/clone.rs,68
core::clone::Clone::clone,18,"<HashMap::<
    K,
    V,
    S,
    A,
> as Clone>::clone",std_specs/hash.rs,612
core::clone::Clone::clone,18,<ManuallyDrop<T> as Clone>::clone,std_specs/manually_drop.rs,40
core::clone::Clone::clone,18,<NonZero<T> as Clone>::clone,std_specs/nonzero.rs,164
core::clone::Clone::clone,18,<Option<T> as Clone>::clone,std_specs/option.rs,275
core::clone::Clone::clone,18,"<Box<T, A> as Clone>::clone",std_specs/smart_ptrs.rs,53
core::clone::Clone::clone,18,"<Vec<T, A> as Clone>::clone",std_specs/vec.rs,278
core::clone::Clone::clone,18,"<VecDeque<T, A> as Clone>::clone",std_specs/vecdeque.rs,364
core::clone::Clone::clone,18,<String as Clone>::clone,string.rs,345
core::cmp::Ord::cmp,2,<&'a A as Ord>::cmp,std_specs/cmp.rs,446
core::cmp::Ord::cmp,2,<Option<T> as Ord>::cmp,std_specs/option.rs,341
core::cmp::PartialEq::eq,9,<*mut T as PartialEq<*mut T>>::eq,raw_ptr.rs,198
core::cmp::PartialEq::eq,9,<*const T as PartialEq<*const T>>::eq,raw_ptr.rs,221
core::cmp::PartialEq::eq,9,<bool as PartialEq<bool>>::eq,std_specs/cmp.rs,250
core::cmp::PartialEq::eq,9,<f32 as PartialEq<f32>>::eq,std_specs/cmp.rs,279
core::cmp::PartialEq::eq,9,<f64 as PartialEq<f64>>::eq,std_specs/cmp.rs,316
core::cmp::PartialEq::eq,9,<&'a A as PartialEq<&B>>::eq,std_specs/cmp.rs,367
core::cmp::PartialEq::eq,9,<Option<T> as PartialEq>::eq,std_specs/option.rs,298
core::cmp::PartialEq::eq,9,"<Vec<T, A1> as PartialEq<Vec<U, A2>>>::eq",std_specs/vec.rs,343
core::cmp::PartialEq::eq,9,<String as PartialEq>::eq,string.rs,351
core::cmp::PartialEq::ne,4,<bool as PartialEq<bool>>::ne,std_specs/cmp.rs,252
core::cmp::PartialEq::ne,4,<f32 as PartialEq<f32>>::ne,std_specs/cmp.rs,285
core::cmp::PartialEq::ne,4,<f64 as PartialEq<f64>>::ne,std_specs/cmp.rs,322
core::cmp::PartialEq::ne,4,<&'a A as PartialEq<&B>>::ne,std_specs/cmp.rs,375
core::cmp::PartialOrd::ge,3,<f32 as PartialOrd<f32>>::ge,std_specs/cmp.rs,310
core::cmp::PartialOrd::ge,3,<f64 as PartialOrd<f64>>::ge,std_specs/cmp.rs,347
core::cmp::PartialOrd::ge,3,<&'a A as PartialOrd<&B>>::ge,std_specs/cmp.rs,428
core::cmp::PartialOrd::gt,3,<f32 as PartialOrd<f32>>::gt,std_specs/cmp.rs,305
core::cmp::PartialOrd::gt,3,<f64 as PartialOrd<f64>>::gt,std_specs/cmp.rs,342
core::cmp::PartialOrd::gt,3,<&'a A as PartialOrd<&B>>::gt,std_specs/cmp.rs,420
core::cmp::PartialOrd::le,3,<f32 as PartialOrd<f32>>::le,std_specs/cmp.rs,300
core::cmp::PartialOrd::le,3,<f64 as PartialOrd<f64>>::le,std_specs/cmp.rs,337
core::cmp::PartialOrd::le,3,<&'a A as PartialOrd<&B>>::le,std_specs/cmp.rs,412
core::cmp::PartialOrd::lt,3,<f32 as PartialOrd<f32>>::lt,std_specs/cmp.rs,295
core::cmp::PartialOrd::lt,3,<f64 as PartialOrd<f64>>::lt,std_specs/cmp.rs,332
core::cmp::PartialOrd::lt,3,<&'a A as PartialOrd<&B>>::lt,std_specs/cmp.rs,404
core::cmp::PartialOrd::partial_cmp,4,<f32 as PartialOrd<f32>>::partial_cmp,std_specs/cmp.rs,290
core::cmp::PartialOrd::partial_cmp,4,<f64 as PartialOrd<f64>>::partial_cmp,std_specs/cmp.rs,327
core::cmp::PartialOrd::partial_cmp,4,<&'a A as PartialOrd<&B>>::partial_cmp,std_specs/cmp.rs,396
core::cmp::PartialOrd::partial_cmp,4,<Option<T> as PartialOrd>::partial_cmp,std_specs/option.rs,320
core::default::Default::default,16,"<BTreeMap<K, V> as core::default::Default>::default",std_specs/btree.rs,404
core::default::Default::default,16,<BTreeSet<T> as core::default::Default>::default,std_specs/btree.rs,765
core::default::Default::default,16,<Option<T> as core::default::Default>::default,std_specs/default.rs,46
core::default::Default::default,16,<&'a str as core::default::Default>::default,std_specs/default.rs,51
core::default::Default::default,16,"<core::marker::PhantomData<
    T,
> as core::default::Default>::default",std_specs/default.rs,56
core::default::Default::default,16,"<(
    U,
    T,
) as core::default::Default>::default",std_specs/default.rs,63
core::default::Default::default,16,"<(V, U, T) as core::default::Default>::default",std_specs/default.rs,72
core::default::Default::default,16,"<(V, U, T) as core::default::Default>::default",std_specs/default.rs,76
core::default::Default::default,16,"<HashMap<
    K,
    V,
    S,
> as core::default::Default>::default",std_specs/hash.rs,634
core::default::Default::default,16,"<HashSet<
    T,
    S,
> as core::default::Default>::default",std_specs/hash.rs,1012
core::default::Default::default,16,"<Box<
    T,
> as core::default::Default>::default",std_specs/smart_ptrs.rs,22
core::default::Default::default,16,"<Rc<
    T,
> as core::default::Default>::default",std_specs/smart_ptrs.rs,34
core::default::Default::default,16,"<Arc<
    T,
> as core::default::Default>::default",std_specs/smart_ptrs.rs,46
core::default::Default::default,16,<Vec<T> as core::default::Default>::default,std_specs/vec.rs,105
core::default::Default::default,16,<VecDeque<T> as core::default::Default>::default,std_specs/vecdeque.rs,91
core::default::Default::default,16,<String as core::default::Default>::default,string.rs,363
core::iter::IntoIterator::into_iter,5,<&'a [T; N] as core::iter::IntoIterator>::into_iter,array.rs,116
core::iter::IntoIterator::into_iter,5,<&'a [T; N] as core::iter::IntoIterator>::into_iter,array.rs,120
core::iter::IntoIterator::into_iter,5,<I as IntoIterator>::into_iter,std_specs/iter.rs,254
core::iter::IntoIterator::into_iter,5,<&'a [T] as core::iter::IntoIterator>::into_iter,std_specs/slice.rs,158
core::iter::IntoIterator::into_iter,5,"<&'a Vec<T, A> as core::iter::IntoIterator>::into_iter",std_specs/vec.rs,457
core::ops::Add::add,2,<f32 as core::ops::Add>::add,std_specs/ops.rs,469
core::ops::Add::add,2,<f64 as core::ops::Add>::add,std_specs/ops.rs,494
core::ops::Deref::deref,3,<ManuallyDrop<T> as Deref>::deref,std_specs/manually_drop.rs,47
core::ops::Deref::deref,3,"<Vec<T, A> as core::ops::Deref>::deref",std_specs/vec.rs,248
core::ops::Deref::deref,3,<String as core::ops::Deref>::deref,string.rs,339
core::ops::Div::div,2,<f32 as core::ops::Div>::div,std_specs/ops.rs,484
core::ops::Div::div,2,<f64 as core::ops::Div>::div,std_specs/ops.rs,509
core::ops::Index::index,2,<[T] as Index<I>>::index,std_specs/slice.rs,75
core::ops::Index::index,2,<[T; N] as Index<I>>::index,std_specs/slice.rs,83
core::ops::Mul::mul,2,<f32 as core::ops::Mul>::mul,std_specs/ops.rs,479
core::ops::Mul::mul,2,<f64 as core::ops::Mul>::mul,std_specs/ops.rs,504
core::ops::Neg::neg,2,<f32 as core::ops::Neg>::neg,std_specs/ops.rs,464
core::ops::Neg::neg,2,<f64 as core::ops::Neg>::neg,std_specs/ops.rs,489
core::ops::RangeBounds::end_bound,7,<Range<T> as RangeBounds<T>>::end_bound,std_specs/range.rs,290
core::ops::RangeBounds::end_bound,7,<RangeFull as RangeBounds<T>>::end_bound,std_specs/range.rs,304
core::ops::RangeBounds::end_bound,7,<RangeFrom<T> as RangeBounds<T>>::end_bound,std_specs/range.rs,318
core::ops::RangeBounds::end_bound,7,<RangeTo<T> as RangeBounds<T>>::end_bound,std_specs/range.rs,332
core::ops::RangeBounds::end_bound,7,<RangeInclusive<T> as RangeBounds<T>>::end_bound,std_specs/range.rs,346
core::ops::RangeBounds::end_bound,7,<RangeToInclusive<T> as RangeBounds<T>>::end_bound,std_specs/range.rs,360
core::ops::RangeBounds::end_bound,7,"<(Bound<T>, Bound<T>) as RangeBounds<T>>::end_bound",std_specs/range.rs,374
core::ops::RangeBounds::start_bound,7,<Range<T> as RangeBounds<T>>::start_bound,std_specs/range.rs,283
core::ops::RangeBounds::start_bound,7,<RangeFull as RangeBounds<T>>::start_bound,std_specs/range.rs,297
core::ops::RangeBounds::start_bound,7,<RangeFrom<T> as RangeBounds<T>>::start_bound,std_specs/range.rs,311
core::ops::RangeBounds::start_bound,7,<RangeTo<T> as RangeBounds<T>>::start_bound,std_specs/range.rs,325
core::ops::RangeBounds::start_bound,7,<RangeInclusive<T> as RangeBounds<T>>::start_bound,std_specs/range.rs,339
