component,relative_path,source_path,dest_path,sha256,bytes
rust-core-slice,ascii.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/ascii.rs,rust-core-slice/ascii.rs,e98bab9c6bddec3faca332ae836218d3219f7c6ff1b8f307d9ba0cbcceb09fea,24742
rust-core-slice,cmp.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/cmp.rs,rust-core-slice/cmp.rs,14500786d4d702727199f1d82f61dbe3ec1c85c59adc3e12e918fe15bd1846c4,17678
rust-core-slice,index.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/index.rs,rust-core-slice/index.rs,16c924deb46e5e027872853736f082abae1eb45f74e55935814a20979899a935,36709
rust-core-slice,iter/macros.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/iter/macros.rs,rust-core-slice/iter/macros.rs,3d02121faa057f039d2d677829b2d8e04d1d772c6891b5b5c66514e4e7f185dc,21666
rust-core-slice,iter.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/iter.rs,rust-core-slice/iter.rs,c309e04ca3da2fc4220ee3f93b4466c578ea7f3f2ef52cca6a3fdf8ac28e53d3,101457
rust-core-slice,memchr.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/memchr.rs,rust-core-slice/memchr.rs,c2bc761de734a9e25e02b45b199be8ec4cf3d8730da70b0d6847e4a02745eae7,5858
rust-core-slice,mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/mod.rs,rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,219039
rust-core-slice,raw.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/raw.rs,rust-core-slice/raw.rs,0914968067f7e2bc798680c1edd72bcb032a9fd44ebb2b6fbc082a3a2b16941f,13714
rust-core-slice,rotate.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/rotate.rs,rust-core-slice/rotate.rs,13e233660081d3b9a0f049905a69b552950a3058d278b53addbf7cb6238dc612,12114
rust-core-slice,sort/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/sort/mod.rs,rust-core-slice/sort/mod.rs,f67551bff44a854a3f03901db10a099bdab3b67b47d8724bef43858d97134f3c,269
rust-core-slice,sort/select.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/sort/select.rs,rust-core-slice/sort/select.rs,93b40c191cc4a5410bf070e80b27ad60dbba144f4628568fbb2f3a6608ff285f,10525
rust-core-slice,sort/shared/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/sort/shared/mod.rs,rust-core-slice/sort/shared/mod.rs,d3ef4c871cd24304dd81b42c291ec222a2c4848f402164c427deeff992de96ed,1529
rust-core-slice,sort/shared/pivot.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/sort/shared/pivot.rs,rust-core-slice/sort/shared/pivot.rs,09788115fcd10dac381446e2a68c228266ed2c78d4840fcdb3b77b7bd06bce6e,3575
rust-core-slice,sort/shared/smallsort.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/sort/shared/smallsort.rs,rust-core-slice/sort/shared/smallsort.rs,32574fd06623190132f213cbfeaeca5bd466e3c802ca97a2174e24fd3c240959,32383
rust-core-slice,sort/stable/drift.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/sort/stable/drift.rs,rust-core-slice/sort/stable/drift.rs,5992b53abed257aa1c2dc2bb811d6a525294471e7a98d434f161d376100bf9c9,12456
rust-core-slice,sort/stable/merge.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/sort/stable/merge.rs,rust-core-slice/sort/stable/merge.rs,d98c59ba9932ff64ce5dca62bf28433ddfa9b604c7b3e4c226f29b673f8b00c0,5654
rust-core-slice,sort/stable/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/sort/stable/mod.rs,rust-core-slice/sort/stable/mod.rs,3f2b2d8543a1cb91c9352e041bed49949a31cbd4b1030ec1a82cca1304cb22d3,7112
rust-core-slice,sort/stable/quicksort.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/sort/stable/quicksort.rs,rust-core-slice/sort/stable/quicksort.rs,4a41df6bc7c4e0a6fcb655fde9bf73ed62f3a675ca805f2f766919ce249d8f4c,10557
rust-core-slice,sort/stable/tiny.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/sort/stable/tiny.rs,rust-core-slice/sort/stable/tiny.rs,d4ebcbff3d23b09feedeb5e4670f2a40c1e9ad0618937ea41391bdd5e2645da2,1232
rust-core-slice,sort/unstable/heapsort.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/slice/sort/unstable/heapsort.rs,rust-core-slice/sort/unstable/heapsort.rs,6e126fcfaaee8e0b7f70a9d94dc8a512a2ba28c93811db621ec2784a62501ccb,2289
