module,display_path,canonical_path,origin_path,kind,declaration_id,stability,since,is_const,is_unsafe,is_async,abi,source_file,source_line,alias_approximate
core::arch::x86,core::arch::x86::_mm256_mask_fnmsub_ps,core::arch::x86::_mm256_mask_fnmsub_ps,core::core_arch::x86::avx512f::_mm256_mask_fnmsub_ps,free_function,core:40212,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,4985,False
core::arch::x86,core::arch::x86::_mm256_mask_fpclass_pd_mask,core::arch::x86::_mm256_mask_fpclass_pd_mask,core::core_arch::x86::avx512dq::_mm256_mask_fpclass_pd_mask,free_function,core:43988,stable,1.89.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512dq.rs,6939,False
core::arch::x86,core::arch::x86::_mm256_mask_fpclass_ph_mask,core::arch::x86::_mm256_mask_fpclass_ph_mask,core::core_arch::x86::avx512fp16::_mm256_mask_fpclass_ph_mask,free_function,core:45041,stable,1.94.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512fp16.rs,11566,False
core::arch::x86,core::arch::x86::_mm256_mask_fpclass_ps_mask,core::arch::x86::_mm256_mask_fpclass_ps_mask,core::core_arch::x86::avx512dq::_mm256_mask_fpclass_ps_mask,free_function,core:43994,stable,1.89.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512dq.rs,7083,False
core::arch::x86,core::arch::x86::_mm256_mask_getexp_pd,core::arch::x86::_mm256_mask_getexp_pd,core::core_arch::x86::avx512f::_mm256_mask_getexp_pd,free_function,core:40277,stable,1.89.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,5757,False
core::arch::x86,core::arch::x86::_mm256_mask_getexp_ph,core::arch::x86::_mm256_mask_getexp_ph,core::core_arch::x86::avx512fp16::_mm256_mask_getexp_ph,free_function,core:44940,stable,1.94.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512fp16.rs,9131,False
core::arch::x86,core::arch::x86::_mm256_mask_getexp_ps,core::arch::x86::_mm256_mask_getexp_ps,core::core_arch::x86::avx512f::_mm256_mask_getexp_ps,free_function,core:40268,stable,1.89.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,5637,False
core::arch::x86,core::arch::x86::_mm256_mask_getmant_pd,core::arch::x86::_mm256_mask_getmant_pd,core::core_arch::x86::avx512f::_mm256_mask_getmant_pd,free_function,core:40369,stable,1.89.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,7777,False
core::arch::x86,core::arch::x86::_mm256_mask_getmant_ph,core::arch::x86::_mm256_mask_getmant_ph,core::core_arch::x86::avx512fp16::_mm256_mask_getmant_ph,free_function,core:44958,stable,1.94.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512fp16.rs,9507,False
core::arch::x86,core::arch::x86::_mm256_mask_getmant_ps,core::arch::x86::_mm256_mask_getmant_ps,core::core_arch::x86::avx512f::_mm256_mask_getmant_ps,free_function,core:40360,stable,1.89.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,7473,False
core::arch::x86,core::arch::x86::_mm256_mask_gf2p8affine_epi64_epi8,core::arch::x86::_mm256_mask_gf2p8affine_epi64_epi8,core::core_arch::x86::gfni::_mm256_mask_gf2p8affine_epi64_epi8,free_function,core:44315,stable,1.89.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/gfni.rs,378,False
core::arch::x86,core::arch::x86::_mm256_mask_gf2p8affineinv_epi64_epi8,core::arch::x86::_mm256_mask_gf2p8affineinv_epi64_epi8,core::core_arch::x86::gfni::_mm256_mask_gf2p8affineinv_epi64_epi8,free_function,core:44324,stable,1.89.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/gfni.rs,636,False
core::arch::x86,core::arch::x86::_mm256_mask_gf2p8mul_epi8,core::arch::x86::_mm256_mask_gf2p8mul_epi8,core::core_arch::x86::gfni::_mm256_mask_gf2p8mul_epi8,free_function,core:44305,stable,1.89.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/gfni.rs,139,False
core::arch::x86,core::arch::x86::_mm256_mask_i32gather_epi32,core::arch::x86::_mm256_mask_i32gather_epi32,core::core_arch::x86::avx2::_mm256_mask_i32gather_epi32,free_function,core:39612,stable,1.27.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx2.rs,1164,False
core::arch::x86,core::arch::x86::_mm256_mask_i32gather_epi64,core::arch::x86::_mm256_mask_i32gather_epi64,core::core_arch::x86::avx2::_mm256_mask_i32gather_epi64,free_function,core:39620,stable,1.27.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx2.rs,1346,False
core::arch::x86,core::arch::x86::_mm256_mask_i32gather_pd,core::arch::x86::_mm256_mask_i32gather_pd,core::core_arch::x86::avx2::_mm256_mask_i32gather_pd,free_function,core:39624,stable,1.27.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx2.rs,1436,False
core::arch::x86,core::arch::x86::_mm256_mask_i32gather_ps,core::arch::x86::_mm256_mask_i32gather_ps,core::core_arch::x86::avx2::_mm256_mask_i32gather_ps,free_function,core:39616,stable,1.27.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx2.rs,1251,False
core::arch::x86,core::arch::x86::_mm256_mask_i32scatter_epi32,core::arch::x86::_mm256_mask_i32scatter_epi32,core::core_arch::x86::avx512f::_mm256_mask_i32scatter_epi32,free_function,core:40924,stable,1.89.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,17831,False
core::arch::x86,core::arch::x86::_mm256_mask_i32scatter_epi64,core::arch::x86::_mm256_mask_i32scatter_epi64,core::core_arch::x86::avx512f::_mm256_mask_i32scatter_epi64,free_function,core:40926,stable,1.89.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,17871,False
core::arch::x86,core::arch::x86::_mm256_mask_i32scatter_pd,core::arch::x86::_mm256_mask_i32scatter_pd,core::core_arch::x86::avx512f::_mm256_mask_i32scatter_pd,free_function,core:40928,stable,1.89.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,17909,False
core::arch::x86,core::arch::x86::_mm256_mask_i32scatter_ps,core::arch::x86::_mm256_mask_i32scatter_ps,core::core_arch::x86::avx512f::_mm256_mask_i32scatter_ps,free_function,core:40930,stable,1.89.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,17947,False
core::arch::x86,core::arch::x86::_mm256_mask_i64gather_epi32,core::arch::x86::_mm256_mask_i64gather_epi32,core::core_arch::x86::avx2::_mm256_mask_i64gather_epi32,free_function,core:39628,stable,1.27.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx2.rs,1531,False
