canonical_path,representative_display_path,modules,kinds,stability,declaration_count,source_locations,has_approximate_alias
alloc::collections::BTreeMap::range,alloc::collections::BTreeMap::range,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1429,False
alloc::collections::BTreeMap::range_mut,alloc::collections::BTreeMap::range_mut,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1469,False
alloc::collections::BTreeMap::remove_entry,alloc::collections::BTreeMap::remove_entry,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1154,False
alloc::collections::BTreeMap::retain,alloc::collections::BTreeMap::retain,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1192,False
alloc::collections::BTreeMap::split_off,alloc::collections::BTreeMap::split_off,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1561,False
alloc::collections::BTreeMap::values_mut,alloc::collections::BTreeMap::values_mut,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:2802,False
alloc::collections::BTreeSet::append,alloc::collections::BTreeSet::append,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:1139,False
alloc::collections::BTreeSet::difference,alloc::collections::BTreeSet::difference,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:428,False
alloc::collections::BTreeSet::extract_if,alloc::collections::BTreeSet::extract_if,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:1218,False
alloc::collections::BTreeSet::first,alloc::collections::BTreeSet::first,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:792,False
alloc::collections::BTreeSet::intersection,alloc::collections::BTreeSet::intersection,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:516,False
alloc::collections::BTreeSet::is_disjoint,alloc::collections::BTreeSet::is_disjoint,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:658,False
alloc::collections::BTreeSet::is_subset,alloc::collections::BTreeSet::is_subset,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:684,False
alloc::collections::BTreeSet::is_superset,alloc::collections::BTreeSet::is_superset,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:765,False
alloc::collections::BTreeSet::last,alloc::collections::BTreeSet::last,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:819,False
alloc::collections::BTreeSet::pop_first,alloc::collections::BTreeSet::pop_first,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:843,False
alloc::collections::BTreeSet::pop_last,alloc::collections::BTreeSet::pop_last,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:867,False
alloc::collections::BTreeSet::range,alloc::collections::BTreeSet::range,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:398,False
alloc::collections::BTreeSet::replace,alloc::collections::BTreeSet::replace,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:924,False
alloc::collections::BTreeSet::retain,alloc::collections::BTreeSet::retain,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:1102,False
alloc::collections::BTreeSet::split_off,alloc::collections::BTreeSet::split_off,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:1177,False
alloc::collections::BTreeSet::symmetric_difference,alloc::collections::BTreeSet::symmetric_difference,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:485,False
alloc::collections::BTreeSet::take,alloc::collections::BTreeSet::take,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:1078,False
alloc::collections::BTreeSet::union,alloc::collections::BTreeSet::union,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:563,False
alloc::collections::BinaryHeap::drain,alloc::collections::BinaryHeap::drain,alloc::collections;std::collections,inherent_method,stable,1,alloc/src/collections/binary_heap/mod.rs:1496,False
alloc::collections::BinaryHeap::iter,alloc::collections::BinaryHeap::iter,alloc::collections;std::collections,inherent_method,stable,1,alloc/src/collections/binary_heap/mod.rs:1100,False
alloc::collections::BinaryHeap::peek_mut,alloc::collections::BinaryHeap::peek_mut,alloc::collections;std::collections,inherent_method,stable,1,alloc/src/collections/binary_heap/mod.rs:651,False
alloc::collections::BinaryHeap::retain,alloc::collections::BinaryHeap::retain,alloc::collections;std::collections,inherent_method,stable,1,alloc/src/collections/binary_heap/mod.rs:1061,False
alloc::collections::LinkedList::back_mut,alloc::collections::LinkedList::back_mut,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,stable,1,alloc/src/collections/linked_list.rs:824,False
alloc::collections::LinkedList::extract_if,alloc::collections::LinkedList::extract_if,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,stable,1,alloc/src/collections/linked_list.rs:1164,False
alloc::collections::LinkedList::front_mut,alloc::collections::LinkedList::front_mut,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,stable,1,alloc/src/collections/linked_list.rs:773,False
alloc::collections::LinkedList::iter,alloc::collections::LinkedList::iter,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,stable,1,alloc/src/collections/linked_list.rs:540,False
alloc::collections::LinkedList::iter_mut,alloc::collections::LinkedList::iter_mut,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,stable,1,alloc/src/collections/linked_list.rs:569,False
alloc::collections::LinkedList::push_back_mut,alloc::collections::LinkedList::push_back_mut,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,stable,1,alloc/src/collections/linked_list.rs:938,False
alloc::collections::LinkedList::push_front_mut,alloc::collections::LinkedList::push_front_mut,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,stable,1,alloc/src/collections/linked_list.rs:867,False
alloc::collections::VecDeque::as_mut_slices,alloc::collections::VecDeque::as_mut_slices,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:1682,False
alloc::collections::VecDeque::back_mut,alloc::collections::VecDeque::back_mut,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:2113,False
alloc::collections::VecDeque::binary_search,alloc::collections::VecDeque::binary_search,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:3201,False
alloc::collections::VecDeque::binary_search_by,alloc::collections::VecDeque::binary_search_by,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:3247,False
alloc::collections::VecDeque::binary_search_by_key,alloc::collections::VecDeque::binary_search_by_key,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:3305,False
alloc::collections::VecDeque::drain,alloc::collections::VecDeque::drain,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:1878,False
alloc::collections::VecDeque::front_mut,alloc::collections::VecDeque::front_mut,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:2068,False
alloc::collections::VecDeque::get_mut,alloc::collections::VecDeque::get_mut,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:996,False
alloc::collections::VecDeque::insert_mut,alloc::collections::VecDeque::insert_mut,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:2500,False
alloc::collections::VecDeque::iter_mut,alloc::collections::VecDeque::iter_mut,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:1592,False
alloc::collections::VecDeque::make_contiguous,alloc::collections::VecDeque::make_contiguous,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:2896,False
alloc::collections::VecDeque::partition_point,alloc::collections::VecDeque::partition_point,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:3357,False
alloc::collections::VecDeque::pop_back_if,alloc::collections::VecDeque::pop_back_if,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:2214,False
alloc::collections::VecDeque::pop_front_if,alloc::collections::VecDeque::pop_front_if,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:2192,False
alloc::collections::VecDeque::push_back_mut,alloc::collections::VecDeque::push_back_mut,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:2293,False
alloc::collections::VecDeque::push_front_mut,alloc::collections::VecDeque::push_front_mut,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:2250,False
alloc::collections::VecDeque::range,alloc::collections::VecDeque::range,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:1789,False
alloc::collections::VecDeque::range_mut,alloc::collections::VecDeque::range_mut,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:1829,False
alloc::collections::VecDeque::resize_with,alloc::collections::VecDeque::resize_with,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:2830,False
alloc::collections::VecDeque::retain,alloc::collections::VecDeque::retain,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:2725,False
alloc::collections::VecDeque::retain_mut,alloc::collections::VecDeque::retain_mut,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:2754,False
alloc::collections::btree_map::Entry::and_modify,alloc::collections::btree_map::Entry::and_modify,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:310,False
alloc::collections::btree_map::Entry::insert_entry,alloc::collections::btree_map::Entry::insert_entry,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:337,False
alloc::collections::btree_map::Entry::key,alloc::collections::btree_map::Entry::key,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:282,False
alloc::collections::btree_map::Entry::or_default,alloc::collections::btree_map::Entry::or_default,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:363,False
alloc::collections::btree_map::Entry::or_insert,alloc::collections::btree_map::Entry::or_insert,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:144,False
alloc::collections::btree_map::Entry::or_insert_with,alloc::collections::btree_map::Entry::or_insert_with,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:167,False
alloc::collections::btree_map::Entry::or_insert_with_key,alloc::collections::btree_map::Entry::or_insert_with_key,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:228,False
alloc::collections::btree_map::OccupiedEntry::get,alloc::collections::btree_map::OccupiedEntry::get,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:546,False
alloc::collections::btree_map::OccupiedEntry::get_mut,alloc::collections::btree_map::OccupiedEntry::get_mut,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:577,False
alloc::collections::btree_map::OccupiedEntry::insert,alloc::collections::btree_map::OccupiedEntry::insert,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:627,False
alloc::collections::btree_map::OccupiedEntry::into_mut,alloc::collections::btree_map::OccupiedEntry::into_mut,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:604,False
alloc::collections::btree_map::OccupiedEntry::key,alloc::collections::btree_map::OccupiedEntry::key,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:496,False
alloc::collections::btree_map::OccupiedEntry::remove,alloc::collections::btree_map::OccupiedEntry::remove,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:650,False
alloc::collections::btree_map::OccupiedEntry::remove_entry,alloc::collections::btree_map::OccupiedEntry::remove_entry,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:525,False
alloc::collections::btree_map::VacantEntry::insert,alloc::collections::btree_map::VacantEntry::insert,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:425,False
alloc::collections::btree_map::VacantEntry::insert_entry,alloc::collections::btree_map::VacantEntry::insert_entry,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:447,False
alloc::collections::btree_map::VacantEntry::into_key,alloc::collections::btree_map::VacantEntry::into_key,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:403,False
alloc::collections::btree_map::VacantEntry::key,alloc::collections::btree_map::VacantEntry::key,alloc::collections::btree_map,inherent_method,stable,1,alloc/src/collections/btree/map/entry.rs:384,False
alloc::ffi::CString::from_raw,alloc::ffi::CString::from_raw,alloc::ffi;std::ffi,inherent_method,stable,1,alloc/src/ffi/c_str.rs:402,False
alloc::ffi::CString::from_vec_unchecked,alloc::ffi::CString::from_vec_unchecked,alloc::ffi;std::ffi,inherent_method,stable,1,alloc/src/ffi/c_str.rs:340,False
alloc::ffi::CString::from_vec_with_nul_unchecked,alloc::ffi::CString::from_vec_with_nul_unchecked,alloc::ffi;std::ffi,inherent_method,stable,1,alloc/src/ffi/c_str.rs:635,False
alloc::ffi::CString::into_raw,alloc::ffi::CString::into_raw,alloc::ffi;std::ffi,inherent_method,stable,1,alloc/src/ffi/c_str.rs:455,False
alloc::ffi::CString::new,alloc::ffi::CString::new,alloc::ffi;std::ffi,inherent_method,stable,1,alloc/src/ffi/c_str.rs:257,False
alloc::fmt::format,alloc::fmt::format,alloc::fmt;std::fmt,free_function,stable,1,alloc/src/fmt.rs:649,False
alloc::rc::Rc::as_ptr,alloc::rc::Rc::as_ptr,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:1669,False
alloc::rc::Rc::assume_init,alloc::rc::Rc::assume_init,alloc::rc;std::rc,inherent_method,stable,2,alloc/src/rc.rs:1302;alloc/src/rc.rs:1438,False
alloc::rc::Rc::decrement_strong_count,alloc::rc::Rc::decrement_strong_count,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:1606,False
alloc::rc::Rc::downcast,alloc::rc::Rc::downcast,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:2181,False
alloc::rc::Rc::downgrade,alloc::rc::Rc::downgrade,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:1772,False
alloc::rc::Rc::from_raw,alloc::rc::Rc::from_raw,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:1511,False
alloc::rc::Rc::get_mut,alloc::rc::Rc::get_mut,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:1936,False
