target,classification,category,owner,kinds,classification_reasons,related_vstd_contract_count,returns_reference,returns_mutable_reference,has_mutable_output_state,has_closure,has_unsafe,has_raw_pointer
alloc::collections::BTreeMap::pop_first,suitable_now,data_structure,alloc::collections::BTreeMap,inherent_method,,14,False,False,True,False,False,False
alloc::collections::BTreeMap::pop_last,suitable_now,data_structure,alloc::collections::BTreeMap,inherent_method,,14,False,False,True,False,False,False
alloc::collections::BTreeMap::range,iterator_or_adapter_result,data_structure,alloc::collections::BTreeMap,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,14,False,False,False,False,False,False
alloc::collections::BTreeMap::range_mut,iterator_or_adapter_result,data_structure,alloc::collections::BTreeMap,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,14,False,False,True,False,False,False
alloc::collections::BTreeMap::remove_entry,suitable_now,data_structure,alloc::collections::BTreeMap,inherent_method,,14,False,False,True,False,False,False
alloc::collections::BTreeMap::retain,iterator_or_adapter_result,data_structure,alloc::collections::BTreeMap,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,14,False,False,True,True,False,False
alloc::collections::BTreeMap::split_off,suitable_now,data_structure,alloc::collections::BTreeMap,inherent_method,,14,False,False,True,False,False,False
alloc::collections::BTreeMap::values_mut,iterator_or_adapter_result,data_structure,alloc::collections::BTreeMap,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,14,False,False,True,False,False,False
alloc::collections::BTreeSet::append,suitable_now,data_structure,alloc::collections::BTreeSet,inherent_method,,10,False,False,True,False,False,False
alloc::collections::BTreeSet::difference,iterator_or_adapter_result,data_structure,alloc::collections::BTreeSet,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,10,False,False,False,False,False,False
alloc::collections::BTreeSet::extract_if,iterator_or_adapter_result,data_structure,alloc::collections::BTreeSet,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,10,False,False,True,True,False,False
alloc::collections::BTreeSet::first,suitable_now,data_structure,alloc::collections::BTreeSet,inherent_method,must_compare_semantic_view_not_reference_identity,10,True,False,False,False,False,False
alloc::collections::BTreeSet::intersection,iterator_or_adapter_result,data_structure,alloc::collections::BTreeSet,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,10,False,False,False,False,False,False
alloc::collections::BTreeSet::is_disjoint,suitable_now,data_structure,alloc::collections::BTreeSet,inherent_method,,10,False,False,False,False,False,False
alloc::collections::BTreeSet::is_subset,suitable_now,data_structure,alloc::collections::BTreeSet,inherent_method,,10,False,False,False,False,False,False
alloc::collections::BTreeSet::is_superset,suitable_now,data_structure,alloc::collections::BTreeSet,inherent_method,,10,False,False,False,False,False,False
alloc::collections::BTreeSet::last,suitable_now,data_structure,alloc::collections::BTreeSet,inherent_method,must_compare_semantic_view_not_reference_identity,10,True,False,False,False,False,False
alloc::collections::BTreeSet::pop_first,suitable_now,data_structure,alloc::collections::BTreeSet,inherent_method,,10,False,False,True,False,False,False
alloc::collections::BTreeSet::pop_last,suitable_now,data_structure,alloc::collections::BTreeSet,inherent_method,,10,False,False,True,False,False,False
alloc::collections::BTreeSet::range,iterator_or_adapter_result,data_structure,alloc::collections::BTreeSet,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,10,False,False,False,False,False,False
alloc::collections::BTreeSet::replace,suitable_now,data_structure,alloc::collections::BTreeSet,inherent_method,,10,False,False,True,False,False,False
alloc::collections::BTreeSet::retain,iterator_or_adapter_result,data_structure,alloc::collections::BTreeSet,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,10,False,False,True,True,False,False
alloc::collections::BTreeSet::split_off,suitable_now,data_structure,alloc::collections::BTreeSet,inherent_method,,10,False,False,True,False,False,False
alloc::collections::BTreeSet::symmetric_difference,iterator_or_adapter_result,data_structure,alloc::collections::BTreeSet,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,10,False,False,False,False,False,False
alloc::collections::BTreeSet::take,suitable_now,data_structure,alloc::collections::BTreeSet,inherent_method,,10,False,False,True,False,False,False
alloc::collections::BTreeSet::union,iterator_or_adapter_result,data_structure,alloc::collections::BTreeSet,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,10,False,False,False,False,False,False
alloc::collections::BinaryHeap::capacity,representation_or_allocator,data_structure,alloc::collections::BinaryHeap,inherent_method,representation_or_allocator_state_not_in_public_view,11,False,False,False,False,False,False
alloc::collections::BinaryHeap::drain,iterator_or_adapter_result,data_structure,alloc::collections::BinaryHeap,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,11,False,False,True,False,False,False
alloc::collections::BinaryHeap::iter,iterator_or_adapter_result,data_structure,alloc::collections::BinaryHeap,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,11,False,False,False,False,False,False
alloc::collections::BinaryHeap::peek_mut,suitable_now,data_structure,alloc::collections::BinaryHeap,inherent_method,,11,False,False,True,False,False,False
alloc::collections::BinaryHeap::reserve,representation_or_allocator,data_structure,alloc::collections::BinaryHeap,inherent_method,representation_or_allocator_state_not_in_public_view,11,False,False,True,False,False,False
alloc::collections::BinaryHeap::reserve_exact,representation_or_allocator,data_structure,alloc::collections::BinaryHeap,inherent_method,representation_or_allocator_state_not_in_public_view,11,False,False,True,False,False,False
alloc::collections::BinaryHeap::retain,iterator_or_adapter_result,data_structure,alloc::collections::BinaryHeap,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,11,False,False,True,True,False,False
alloc::collections::BinaryHeap::shrink_to,representation_or_allocator,data_structure,alloc::collections::BinaryHeap,inherent_method,representation_or_allocator_state_not_in_public_view,11,False,False,True,False,False,False
